2024-05-02 09:57:45.733195 - securitiesToTrade --> [(8, '869808'), (8, '870766'), (2, '36610'), (2, '36622'), (2, '36752'), (2, '36801'), (2, '43771'), (2, '43797'), (2, '41302'), (2, '41312'), (8, '869576'), (8, '869631')]

2024-05-02 10:15:21.905910 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41312, 'LTP': '57.20', 'LTT': '10:15:22'}

2024-05-02 10:15:21.912427 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869631, 'LTP': '287.70', 'LTT': '10:15:21'}

2024-05-02 10:15:21.983039 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36801, 'LTP': '167.15', 'LTT': '10:15:22'}

2024-05-02 10:15:21.999037 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36610, 'LTP': '90.10', 'LTT': '10:15:21'}

2024-05-02 10:15:22.078939 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 870766, 'LTP': '409.30', 'LTT': '10:15:21'}

2024-05-02 10:15:22.147633 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869631, 'LTP': '287.70', 'LTT': '10:15:22'}

2024-05-02 10:15:22.179627 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41302, 'LTP': '109.10', 'LTT': '10:15:22'}

2024-05-02 10:15:22.588828 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869576, 'LTP': '455.55', 'LTT': '10:15:22'}

2024-05-02 10:15:22.612822 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 43771, 'LTP': '493.10', 'LTT': '10:15:22'}

2024-05-02 10:15:22.825033 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869576, 'LTP': '452.10', 'LTT': '10:15:22'}

2024-05-02 10:15:22.858585 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41312, 'LTP': '57.80', 'LTT': '10:15:23'}

2024-05-02 10:15:22.891717 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 43797, 'LTP': '416.55', 'LTT': '10:15:23'}

2024-05-02 10:15:22.941535 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869631, 'LTP': '289.40', 'LTT': '10:15:23'}

2024-05-02 10:15:22.982364 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36801, 'LTP': '168.10', 'LTT': '10:15:22'}

2024-05-02 10:15:23.016000 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36622, 'LTP': '69.65', 'LTT': '10:15:22'}

2024-05-02 10:15:23.073026 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36752, 'LTP': '160.00', 'LTT': '10:15:23'}

2024-05-02 10:15:23.206103 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869631, 'LTP': '290.40', 'LTT': '10:15:23'}

2024-05-02 10:15:23.377814 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41302, 'LTP': '106.90', 'LTT': '10:15:23'}

2024-05-02 10:15:23.498338 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869808, 'LTP': '360.40', 'LTT': '10:15:23'}

